id,name,class,latitude,longitude
311,Recycle Depot Green Material C&G,Composting_Sites,36.31749011859023,           -119.60265
312,Recycled Wood Products,Composting_Sites,34.01407015292152,           -117.64686
313,Red Star Plant Foods- Composting Site C,Composting_Sites,33.95155015383912,           -117.633
314,Redwood Debris Box Green Waste Operation,Composting_Sites,37.50538010053101,           -122.21048
315,Redwood Landfill,Composting_Sites,38.16573009040316,           -122.56835
316,"Redwood Landfill, Inc.",Composting_Sites,38.16553009040624,           -122.55854
317,"Redwood Products of Chino, Inc.",Composting_Sites,33.97303015352396,           -117.60249
318,Reichert Duck Farm,Composting_Sites,38.25483008903218,           -122.72825
319,Rent-a- Bin (Chip and Grind Operation),Composting_Sites,34.42599014685595,           -118.5004
320,"Residuals Recovery Group, Inc.",Composting_Sites,33.99669015317669,           -117.6434
321,Ridgecrest Recycling & Sanitary Landfill,Composting_Sites,35.60263012934849,           -117.73755
322,Rios Recycling Facility,Composting_Sites,34.02059015282578,           -117.3744
323,RJ`s Alondra Chipping and Grinding Op.,Composting_Sites,33.88659015479166,           -118.2803
324,RJ`s Chipping and Grinding Operation,Composting_Sites,33.97461015350078,           -118.33643
325,Robert A Nelson Transfer Station & MRF,Composting_Sites,34.02115015281757,           -117.3853
326,Rodoni Farms Agricultural Composting Op.,Composting_Sites,36.97019010869407,           -122.1066
327,Royal Gold LLC,Composting_Sites,40.90061004791656,           -124.02215
328,Royal Oaks Mushrooms,Composting_Sites,37.10621010662342,           -121.63624
329,RP-1 Inland Empire Utilities Agency,Composting_Sites,34.0284201527108,           -117.60233
330,RWP Recycled Wood Products Ontario 2,Composting_Sites,34.00331015307953,           -117.61928
331,SA Recycling,Composting_Sites,33.83790015550506,           -116.4054
332,Sage Ranch,Composting_Sites,33.47033016087445,           -116.92628
333,"Salinas Mushroom, Inc.",Composting_Sites,36.6139901141031,           -121.56605
334,San Pasqual Valley Soils,Composting_Sites,33.09142016637897,           -117.0021
335,San Pasqual Valley Soils Research,Composting_Sites,33.09131016638058,           -117.00107
336,San Timoteo Sanitary Landfill,Composting_Sites,34.01292015293844,           -117.21477
337,"Santa Clara Organics, LLC",Composting_Sites,34.39212014735598,           -118.85222
338,Santa Lucia Farms,Composting_Sites,34.64024014368768,           -120.08387
339,Santa Maria Regional Landfill,Composting_Sites,34.95161013906738,           -120.38009
340,Santa Ynez Valley Recycling & Trans Stat,Composting_Sites,34.69203014292049,           -120.12778
341,Santa Ynez Valley RTS Composting Op.,Composting_Sites,34.69742014284061,           -120.13129
342,Scotts Regional Composting Facility,Composting_Sites,38.01022009279353,           -121.02801
343,Serrano Creek Ranch Composting Op.,Composting_Sites,33.64748015829027,           -117.69012
344,Shafter-Wasco Recycling & Sanitary LF,Composting_Sites,35.51051013072839,           -119.41085
345,Shoreline Farms Chip & Grind Operation,Composting_Sites,34.42437014687988,           -119.8087
346,Simi Valley Landfill & Recycling Center,Composting_Sites,34.29463014879396,           -118.79544
